lfnr,krnr,agglvl,name,wkr,regbez,agg2833k,agg2833v,krnrv,c25wohn,c25lselb,c25lgewb,c25langs,c25larb,c25lmith,c25iselb,c25igewb,c25iangs,c25iarb,c25imith,c25hselb,c25hangs,c25harb,c25hmith,c25vselb,c25vangs,c25varb,c25vmith,c25gselb,c25ggewb,c25gangs,c25garb,c25gmith,c25dselb,c25dgewb,c25dangs,c25darb,c25dmith,c25dhaus,c25bland,c25bwerk,c25bhand,c25bverw,c25bgsun,c25bhaus,c25selb,c25hsgew,c25anges,c25arbei,c25mith,c25berwt,c25bbrlo,c25pop,c25prot,c25kath,c25juden,c33pop1,c33erwp,c33werwp,c33erwtt,c33erlos,c33brlos,c33aohb,c33waohb,c33land,c33indu,c33hndl,c33dnst,c33haus,c33selb,c33mith,c33beamt,c33angs,c33arbei,c33hsang,c33eloan,c33eloar,c33eloha,c33pop2,c33lv,rwz1,rwz2a,rwz2b,rwz2c,rwz2d,rwz3,rwz4a,rwz4b,rwz4c,rwz5,rwz6,rwz7,rwz8a,rwz8b,rwz8c,rwz8d,rwz9,rwz10a,rwz10b,rwz10c,rwz11,alos30d,alu30d,kru30d,we30d,alos31d,alu31d,kru31d,we31d,alos32d,alu32d,kru32d,we32d
1,1,5,"FRIEDLAND -27/BARTENSTEIN",1,1,0,0,1,43189,2579,0,607,18097,1913,2200,30,644,5116,105,1066,1213,1189,123,332,1109,210,1,184,0,65,89,3,1,1,60,484,0,1286,23196,8065,3591,1652,341,1831,6362,31,3698,25185,2145,38676,4513,42846,40895,1018,139,44638,19395,6422,17178,2217,3784,21459,14273,10858,2720,1734,1165,701,2718,2977,593,1345,8869,676,184,1917,116,44638,22223,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
2,1,8,"BARTENSTEIN",1,1,2,2,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7885,6952,464,61,8717,3600,1127,2942,658,936,4181,2999,288,1108,814,480,252,542,201,283,561,1105,250,78,549,31,8717,578,7885,7522,4781,359,1423,2039,696,255,49,6057,7770,69645,123,330,326,221,181,1802,131,106,279,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
3,1,8,"DOMNAU",1,1,6,6,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2483,2424,25,12,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2707,879,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
4,1,8,"FRIEDLAND I. OSTPR.",1,1,4,4,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3709,3541,77,34,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4323,801,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
5,1,8,"SCHIPPENBEIL",1,1,5,5,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2509,2428,30,31,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2798,433,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
6,1,9,"REST-FRIEDLAND -27/BARTENSTEIN",1,1,6,6,1,43189,2579,0,607,18097,1913,2200,30,644,5116,105,1066,1213,1189,123,332,1109,210,1,184,0,65,89,3,1,1,60,484,0,1286,23196,8065,3591,1652,341,1831,6362,31,3698,25185,2145,38676,4513,26260,25550,422,1,35921,15795,5295,14236,1559,2848,17278,11274,10570,1612,920,685,449,2176,2776,310,784,7764,426,106,1368,85,26093,19532,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
7,2,5,"BRAUNSBERG",1,1,0,0,2,54493,7236,0,385,11410,6259,3375,25,642,7070,190,1477,1957,1475,225,333,1872,381,0,252,0,155,132,4,6,6,42,682,0,1194,25290,11277,5134,2586,543,1924,12679,31,5053,21150,6678,46754,7739,54493,6859,47365,135,56493,25156,10382,22652,2504,6670,24667,15632,13823,3827,2351,1730,921,4424,6216,831,1746,8528,907,254,2135,115,56493,24070,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
8,2,8,"BRAUNSBERG I. OSTPR.",1,1,8,8,2,13893,259,0,191,830,186,1026,16,318,3552,79,587,861,653,94,168,1120,154,0,106,0,55,51,1,0,0,10,93,0,470,1466,4975,2195,1442,213,573,2146,16,2555,5333,360,10864,3029,14031,4229,9666,52,15325,5832,2262,4763,1069,2418,7075,4827,636,1926,974,835,392,816,322,378,805,2058,384,135,930,4,15325,1596,13893,7699,5370,135,538,3345,688,259,53,9676,12992,115160,120,316,299,265,229,3014,166,165,487,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
9,2,8,"FRAUENBURG",1,1,9,9,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2660,193,2459,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2951,801,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
10,2,8,"MEHLSACK",1,1,10,10,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4339,548,3745,19,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4555,662,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
11,2,8,"WORMDITT",1,1,11,11,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6063,813,5188,51,6813,2445,846,1956,489,1195,3173,2157,320,630,543,305,158,399,200,127,397,677,156,41,425,23,6813,566,6063,8845,7247,98,487,1394,760,190,50,3720,5389,47640,106,300,308,286,239,1305,40,49,206,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
12,2,9,"REST-BRAUNSBERG",1,1,12,12,2,40600,6977,0,194,10580,6073,2349,9,324,3518,111,890,1096,822,131,165,752,227,0,146,0,100,81,3,6,6,32,589,0,724,23824,6302,2939,1144,330,1351,10533,15,2498,15817,6318,35890,4710,27400,1076,26307,7,34355,16879,7274,15933,946,3057,14419,8648,12867,1271,834,590,371,3209,5694,326,544,5793,367,78,780,88,26849,20445,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
13,3,5,"ELBING  L",1,1,0,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
14,3,8,"TOLKEMIT",1,1,0,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
15,3,9,"REST-ELBING  L",1,1,0,0,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
16,4,4,"ELBING  S",1,1,0,0,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
17,5,5,"FISCHHAUSEN",1,1,0,0,5,61448,4821,0,589,19803,2516,2840,61,924,10001,150,1687,1943,2857,282,349,2261,1047,5,307,0,122,196,8,3,3,100,810,0,1745,27729,13915,6769,3662,633,2658,10007,64,5939,34714,2961,55366,6082,61491,58631,1025,140,65002,27366,8587,25203,2163,5625,32011,21606,13602,4463,3690,2101,1347,4135,4053,1211,1816,12668,1320,283,1867,13,65002,28804,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
18,5,8,"FISCHHAUSEN",1,1,18,18,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3414,3090,76,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3492,592,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
19,5,8,"PILLAU",1,1,19,19,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,6893,6293,236,15,7092,2784,546,2623,161,647,3661,2693,187,544,969,795,128,338,148,600,256,1154,127,39,116,6,7092,404,6893,7765,5445,196,708,1784,695,276,29,5805,6758,60195,153,397,336,114,66,1592,84,108,204,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
20,5,8,"CRANZ",1,1,20,20,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4659,4320,131,35,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4667,627,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
21,5,8,"PALMNICKEN",1,1,23,23,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2704,2544,34,7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2361,315,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
22,5,8,"RAUSCHEN",1,1,23,23,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2123,1970,71,9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2178,265,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
23,5,9,"REST-FISCHHAUSEN",1,1,23,23,5,61448,4821,0,589,19803,2516,2840,61,924,10001,150,1687,1943,2857,282,349,2261,1047,5,307,0,122,196,8,3,3,100,810,0,1745,27729,13915,6769,3662,633,2658,10007,64,5939,34714,2961,55366,6082,41698,40414,477,54,57910,24582,8041,22580,2002,4978,28350,18913,13415,3919,2721,1306,1219,3797,3905,611,1560,11514,1193,244,1751,7,45212,26601,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
24,6,5,"GERDAUEN",1,1,0,0,6,35558,3159,0,666,16598,2716,1509,19,364,2906,39,594,1046,902,102,105,629,120,0,93,0,33,26,2,0,0,63,149,0,831,23139,4818,2644,854,154,1043,5460,19,2801,20701,2859,32652,2906,35493,34459,335,54,35407,15973,5542,14766,1207,2616,16818,10908,10804,1801,1083,534,544,2320,3256,405,796,7456,533,91,1098,18,35407,22110,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
25,6,8,"GERDAUEN",1,1,25,25,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4339,4183,59,12,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4801,1029,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
26,6,8,"NORDENBURG",1,1,26,26,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,2743,2457,29,25,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3100,1150,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
27,6,9,"REST-GERDAUEN",1,1,27,27,6,35558,3159,0,666,16598,2716,1509,19,364,2906,39,594,1046,902,102,105,629,120,0,93,0,33,26,2,0,0,63,149,0,831,23139,4818,2644,854,154,1043,5460,19,2801,20701,2859,32652,2906,28411,27819,247,17,35407,15973,5542,14766,1207,2616,16818,10908,10804,1801,1083,534,544,2320,3256,405,796,7456,533,91,1098,18,27506,19931,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
28,7,5,"HEILIGENBEIL",1,1,0,0,7,43946,4816,0,571,17163,3631,1979,27,350,3835,89,727,1253,1497,147,153,859,194,1,159,0,39,41,4,2,2,61,344,0,1025,26181,6253,3624,1207,243,1432,7836,29,3133,23074,3872,38940,5006,43946,41506,1437,66,45173,20269,7364,18951,1318,4157,20747,13458,13542,2533,1544,733,599,3648,4604,456,992,8664,587,126,1170,22,45173,25141,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
29,7,8,"HEILIGENBEIL",1,1,29,29,7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5147,4649,328,10,5597,2132,649,1813,319,745,2720,1873,306,675,443,267,122,313,139,126,331,783,121,40,260,19,5597,551,5147,8981,6651,115,913,1343,707,237,56,4041,5011,44710,117,357,349,177,137,1217,57,69,178,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
30,7,8,"ZINTEN",1,1,30,30,7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3518,3083,159,43,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3955,535,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
31,7,9,"REST-HEILIGENBEIL",1,1,31,31,7,43946,4816,0,571,17163,3631,1979,27,350,3835,89,727,1253,1497,147,153,859,194,1,159,0,39,41,4,2,2,61,344,0,1025,26181,6253,3624,1207,243,1432,7836,29,3133,23074,3872,38940,5006,35281,33774,950,13,39576,18137,6715,17138,999,3412,18027,11585,13236,1858,1101,466,477,3335,4465,330,661,7881,466,86,910,3,35621,24055,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
32,8,5,"HEILSBERG",1,1,0,0,8,52757,12164,0,251,10602,9198,2720,38,490,3911,106,1233,1398,946,122,226,1220,202,0,201,0,62,138,3,0,0,51,403,0,855,32215,7227,3699,1648,404,1309,16544,38,3472,16202,9429,46502,6255,52757,3238,49119,146,53672,26408,11392,24597,1811,4817,22447,13563,18564,3085,1584,802,562,5547,9261,619,1009,7601,560,167,1520,124,53672,30844,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
33,8,8,"GUTTSTADT",1,1,33,33,8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5026,539,4298,94,5421,2098,712,1781,317,715,2608,1780,274,796,448,126,137,397,164,108,233,742,137,38,259,20,5421,550,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
34,8,8,"HEILSBERG",1,1,34,34,8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7792,1162,6532,45,8781,3359,1141,2690,669,1150,4272,2956,459,966,592,403,270,540,232,226,483,940,269,69,583,17,8781,852,7046,8468,6652,34,143,1686,698,257,45,4971,6645,58530,124,319,322,235,186,1564,75,47,222,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
35,8,9,"REST-HEILSBERG",1,1,35,35,8,52757,12164,0,251,10602,9198,2720,38,490,3911,106,1233,1398,946,122,226,1220,202,0,201,0,62,138,3,0,0,51,403,0,855,32215,7227,3699,1648,404,1309,16544,38,3472,16202,9429,46502,6255,39939,1537,38289,7,39470,20951,9539,20126,825,2952,15567,8827,17831,1323,544,273,155,4610,8865,285,293,5919,154,60,678,87,39470,29442,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
36,9,5,"KOENIGSBERG (PR) L",1,1,0,0,9,50991,4136,0,922,21331,2416,2000,23,816,5756,60,822,1608,1696,150,154,1196,438,2,105,0,107,145,2,3,3,125,520,0,1428,28805,8632,4276,1790,359,2076,7220,26,4774,29886,2630,45938,5053,43638,42572,515,41,49239,21600,7271,19415,2185,3791,23848,15483,13956,2827,1387,557,688,3203,4269,507,929,9820,687,176,1950,59,49239,27696,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
37,9,8,"JUDITTEN",1,1,0,0,9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
38,9,9,"REST-KOENIGSBERG (PR) L",1,1,38,38,9,50991,4136,0,922,21331,2416,2000,23,816,5756,60,822,1608,1696,150,154,1196,438,2,105,0,107,145,2,3,3,125,520,0,1428,28805,8632,4276,1790,359,2076,7220,26,4774,29886,2630,45938,5053,43638,42572,515,41,49239,21600,7271,19415,2185,3791,23848,15483,13956,2827,1387,557,688,3203,4269,507,929,9820,687,176,1950,59,49239,27696,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
39,10,4,"KOENIGSBERG (PR) S",1,1,39,39,10,279926,579,0,332,1558,138,16570,1957,11571,60161,572,17854,38790,37333,1036,3838,23041,5724,12,2485,0,2801,3488,27,6,5,566,2457,0,9580,2607,88874,95013,32615,8801,12609,41332,1962,77101,110721,1785,240519,39407,287312,256683,13537,4061,315794,137102,45145,104945,32157,40053,138639,100571,1961,31504,39630,24383,7467,15720,2966,14729,26084,38144,7302,7589,23341,1227,315794,6177,279926,3527,1113,2330,4722,69225,629,322,49,244118,276536,2522060,122,414,358,106,74,52740,7969,8516,7614,20591,8659,3945,7987,27297,8802,7732,10763,26989,4988,7515,14486
40,11,5,"LABIAU",1,1,0,0,11,50003,10423,0,566,13157,8572,1874,13,334,3544,74,1077,1041,1390,183,109,950,107,0,142,0,53,53,0,5,5,56,736,0,846,32718,5826,3691,1166,248,1643,13630,18,3000,18987,8829,45292,4711,50003,48851,361,112,51014,25219,10131,23478,1741,4017,21778,13588,18186,2580,1790,525,397,5411,8562,564,883,7668,390,105,1557,79,51014,31134,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
41,11,8,"LABIAU",1,1,41,41,11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5088,4812,73,36,5905,2455,762,2135,320,651,2799,1905,308,744,681,268,134,406,192,181,412,810,134,49,262,9,5905,560,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
