SPO_13,OVP_13,FPO_13,BZO_13,GRUNE_13,FRANK_13,NEOS_13,SONST_13,NW_13,SPO_17,OVP_17,FPO_17,GRUNE_17,NEOS_17,PILZ_17,SONST_17,NW_17
630,405,472,47,116,106,62,33,611,556,579,607,28,62,77,31,570
146,358,178,25,48,52,33,13,264,141,402,230,8,45,34,19,230
411,268,207,26,94,75,48,22,376,364,359,334,21,40,45,21,342
733,633,668,88,180,129,91,50,1335,664,854,888,43,68,72,34,1138
388,234,207,29,83,41,42,19,381,360,345,326,28,40,49,19,310
158,325,173,11,45,36,23,2,195,152,330,252,19,18,15,11,190
272,243,222,30,43,68,34,8,257,229,346,327,9,25,22,15,216
150,94,75,14,11,7,6,7,110,135,122,109,6,9,13,1,59
1039,332,385,39,163,111,69,37,793,868,500,609,43,70,78,51,747
246,167,137,25,73,27,31,16,262,223,231,206,13,29,30,10,229
205,351,166,14,34,38,22,14,304,177,363,250,11,23,23,12,305
253,304,193,14,64,36,28,8,308,222,335,262,19,24,27,16,328
170,324,97,17,52,22,8,7,217,148,335,145,17,21,41,10,191
509,238,290,25,67,39,36,15,385,432,302,410,17,36,33,16,338
493,538,338,24,126,100,60,22,594,430,647,501,31,54,66,38,551
122,181,88,9,18,13,11,3,135,101,193,133,3,11,12,8,112
4,73,20,1,13,2,3,0,26,4,65,23,4,8,8,1,33
14,40,9,2,5,6,2,1,25,17,38,8,0,8,4,7,29
813,387,384,33,102,87,54,26,678,651,545,567,22,48,44,31,650
374,383,154,22,105,43,32,11,341,344,437,250,29,47,52,24,318
300,355,175,27,55,36,45,8,366,259,407,253,19,34,26,15,341
1219,892,1055,127,397,197,191,85,1998,1237,1277,1465,135,231,231,84,1771
254,209,121,16,28,29,8,8,289,203,223,199,13,8,24,10,257
567,270,302,37,57,46,34,11,547,421,358,478,10,38,34,19,456
131,133,133,11,43,19,13,1,191,124,186,186,8,13,21,8,144
155,261,155,19,25,35,20,3,262,122,323,216,16,22,16,5,248
340,329,264,55,55,75,23,20,377,261,418,426,12,29,38,24,351
1803,918,1407,139,577,281,217,78,2428,1621,1504,1807,162,220,273,88,2356
28,67,32,2,5,6,8,3,45,27,63,44,8,9,2,1,53
1679,1136,1359,149,476,296,234,84,2284,1631,1778,1814,140,255,278,79,2224
4,29,12,0,1,2,5,0,5,5,32,15,0,2,1,1,7
245,289,135,12,34,25,21,7,216,168,357,173,15,20,28,10,216
178,243,126,13,35,46,20,7,233,167,286,176,9,22,20,5,248
206,295,134,13,31,45,18,3,268,139,321,239,9,12,20,10,257
784,211,341,24,53,49,36,19,666,615,315,539,19,21,45,23,568
108,276,113,11,44,38,13,4,146,109,281,138,14,16,24,8,162
247,266,102,10,38,34,15,4,195,208,310,143,6,18,19,9,183
389,375,395,40,71,88,34,26,565,346,496,646,16,39,28,22,463
550,271,310,39,95,62,47,18,591,486,403,515,23,58,56,25,498
42,90,38,13,12,10,11,4,66,35,101,56,3,6,11,2,58
634,281,360,43,78,83,34,23,646,495,364,559,22,44,51,36,506
185,99,118,6,29,29,28,7,164,155,173,153,5,15,25,10,125
489,439,349,39,97,76,54,23,506,394,564,499,31,47,67,22,493
202,289,172,18,27,24,16,11,258,149,312,245,11,26,16,5,258
329,191,248,20,47,53,21,8,380,266,251,329,8,24,28,16,376
284,294,287,30,73,44,39,18,545,244,375,341,18,34,38,19,528
186,298,159,16,20,34,9,6,297,154,321,284,5,11,16,9,255
9,62,10,1,12,3,4,1,19,10,68,22,1,9,3,1,17
260,222,172,19,36,32,21,6,321,201,298,234,11,32,22,12,295
94,121,51,3,12,10,9,7,120,76,168,69,6,9,7,1,88
351,201,140,14,25,36,14,8,313,295,230,219,8,23,10,9,262
364,270,264,28,66,63,60,15,409,300,373,358,19,47,44,16,356
121,234,145,13,33,21,13,5,165,101,251,223,7,25,12,11,160
1779,525,1173,109,328,243,178,86,2277,1511,1197,1796,99,168,214,97,2102
160,333,132,14,28,36,17,11,247,106,397,201,14,14,18,7,222
372,139,239,16,33,54,33,11,307,280,251,411,8,25,25,19,299
125,171,95,13,34,26,11,6,155,100,218,166,6,19,8,3,97
315,312,254,32,94,30,35,8,409,302,381,336,14,37,66,16,412
769,1289,689,54,170,135,67,38,1275,610,1497,938,54,75,76,52,1149
102,297,80,3,25,21,13,9,193,92,300,119,6,18,12,10,179
302,106,136,8,33,32,23,15,285,234,131,217,13,27,17,10,271
543,167,144,12,52,54,19,11,418,402,196,280,6,18,27,16,372
122,180,65,5,26,17,9,8,158,77,180,151,5,8,14,4,144
142,196,63,8,16,15,2,2,126,96,181,103,7,12,6,7,150
1211,816,509,70,164,123,95,34,1437,914,929,786,48,105,98,23,1370
393,543,238,21,70,69,24,18,535,312,563,391,20,30,29,19,499
259,323,119,11,42,53,23,19,322,206,321,210,11,26,23,26,307
103,375,122,20,54,51,11,15,265,93,393,229,15,18,17,12,221
100,161,75,15,27,19,9,6,134,75,157,133,12,16,24,10,161
86,115,53,3,11,20,2,1,112,61,105,107,4,6,4,6,97
844,770,407,43,142,105,34,37,1111,677,799,627,44,62,57,49,1094
136,136,60,6,20,12,3,2,101,115,157,95,1,12,9,4,104
289,304,105,26,65,38,18,10,359,236,312,219,16,18,27,13,375
188,392,156,18,24,49,11,7,296,134,388,213,13,35,12,13,282
422,502,229,28,70,61,39,14,661,295,530,337,20,38,28,33,671
71,195,56,4,18,40,6,0,175,59,198,111,4,10,6,6,146
167,288,118,12,43,31,16,7,283,139,285,188,8,17,12,17,272
1293,875,504,89,162,131,57,24,1500,1096,931,818,49,78,60,51,1423
114,327,91,12,40,15,14,11,205,102,326,161,6,21,14,18,186
116,406,100,11,30,28,16,6,270,114,371,190,9,25,12,10,258
386,701,220,41,98,62,61,17,738,320,751,332,32,65,46,17,726
125,155,82,9,20,35,12,8,176,103,178,148,4,13,20,3,157
381,687,284,33,137,75,71,15,620,358,758,458,34,62,54,38,590
182,464,111,12,51,47,17,10,248,147,509,250,14,28,26,19,242
152,314,131,20,24,31,13,5,237,134,326,205,10,25,8,9,215
282,498,167,19,41,53,35,14,320,232,498,299,16,31,26,20,301
188,430,141,19,34,38,14,12,270,155,408,230,6,9,16,7,267
319,371,186,16,46,46,20,6,335,216,372,320,10,35,25,11,333
146,369,120,15,45,33,30,13,249,111,397,180,15,42,19,14,243
167,379,140,11,41,22,16,6,259,160,409,195,10,24,22,13,243
1493,2415,1256,152,574,313,277,89,2581,1230,2736,1684,181,284,288,149,2531
126,141,59,4,20,7,10,4,119,91,133,92,6,5,11,7,122
313,494,166,15,51,63,39,14,471,221,528,293,16,38,47,25,467
170,349,132,16,31,39,20,13,266,129,371,216,14,21,18,13,254
209,253,97,13,19,21,10,5,177,158,261,186,5,12,8,9,201
240,482,113,22,36,25,21,10,363,196,426,193,14,30,25,13,390
238,409,162,19,54,39,40,9,391,179,462,258,13,25,27,11,356
567,1032,271,62,186,116,77,23,1194,489,1062,512,67,123,100,26,1196
139,321,86,15,36,33,14,5,194,117,288,164,20,18,19,7,201
152,263,46,11,30,18,10,5,172,137,295,91,10,28,15,5,147
233,175,111,9,14,22,11,6,203,185,186,174,5,5,10,12,204
267,670,175,25,68,70,62,15,419,225,714,334,22,52,34,21,406
337,636,264,36,76,58,46,28,483,279,665,406,25,56,65,25,456
469,617,246,31,94,64,41,11,521,407,660,390,23,45,38,24,474
491,845,332,45,122,79,71,27,696,451,872,556,46,81,59,37,732
99,210,82,8,39,27,17,5,161,69,223,148,11,19,13,11,174
69,348,76,7,17,23,9,3,154,43,319,128,4,21,17,5,144
182,403,132,11,58,33,21,4,287,125,464,199,17,24,13,20,283
116,326,156,26,50,36,35,5,271,98,335,236,11,32,17,11,250
535,699,297,60,165,90,89,18,938,493,847,440,46,97,62,32,855
528,822,376,49,179,82,76,21,811,436,878,614,50,80,80,49,764
167,478,119,25,34,27,7,7,283,108,438,241,7,24,23,10,251
772,1291,628,102,333,136,167,37,1825,630,1488,943,75,167,94,85,1750
157,507,169,24,26,20,20,7,255,117,481,259,8,20,8,14,258
56,320,52,11,19,13,10,3,129,36,291,103,4,18,5,7,136
100,232,60,7,23,18,4,4,151,82,239,103,11,11,9,6,126
134,274,78,4,24,20,16,7,225,116,278,123,5,14,11,5,217
83,257,72,11,23,18,6,3,135,61,239,142,5,22,14,4,125
33,251,33,5,21,16,5,2,90,17,227,63,5,9,15,3,103
172,319,113,12,43,20,22,3,169,130,347,148,4,19,20,6,215
101,209,78,18,24,26,19,6,197,72,216,141,5,21,9,9,184
120,473,102,23,47,29,16,10,222,113,465,205,13,26,14,11,218
375,393,149,18,45,54,21,12,365,316,396,260,18,30,21,17,347
140,666,111,16,58,40,22,10,315,103,663,195,14,33,16,13,292
118,219,58,12,29,22,11,10,161,97,229,107,9,9,12,12,152
522,871,370,77,363,129,221,37,950,608,1091,448,88,245,180,42,930
309,339,185,27,91,40,53,12,280,257,426,253,20,57,57,16,298
364,767,371,28,131,96,57,22,725,294,874,527,37,70,62,45,711
144,443,155,27,89,59,34,8,342,139,482,237,25,38,44,22,310
228,520,233,32,140,50,51,12,405,205,647,296,35,58,68,31,409
247,351,239,43,94,49,68,15,383,291,496,313,23,70,37,15,395
546,778,430,74,255,110,116,25,810,454,1001,629,80,124,117,47,745
485,789,471,50,163,97,93,28,706,412,937,650,40,89,75,53,682
1629,1643,1199,154,815,268,355,99,3014,1809,2247,1596,246,436,363,128,2660
951,1204,730,169,705,240,388,75,1869,1067,1739,958,210,376,354,81,1674
140,275,140,29,71,39,40,8,263,133,330,198,21,35,27,22,220
681,860,442,87,394,149,163,31,997,750,1128,637,82,182,141,48,874
197,340,179,28,57,34,24,8,238,149,393,259,12,38,31,16,250
476,807,422,65,205,108,110,47,812,397,1010,631,47,134,95,43,777
431,215,258,29,136,70,55,28,482,383,338,342,35,60,78,24,461
120,286,115,11,49,31,26,4,208,102,324,165,18,19,28,10,176
273,182,156,20,57,20,47,8,275,230,270,225,23,46,46,18,214
2715,1727,1760,244,986,339,448,133,4008,2503,2595,2465,293,463,439,186,3632
191,337,194,29,102,51,49,18,289,179,402,241,22,48,43,19,266
160,112,87,10,23,14,9,5,157,133,136,99,6,7,17,14,140
183,315,82,6,35,24,9,8,224,136,331,183,8,14,18,6,185
190,349,132,18,56,22,30,12,249,179,360,206,19,32,30,16,214
115,254,98,15,59,18,23,5,162,113,280,103,13,33,19,8,156
426,712,313,52,169,91,71,23,577,395,843,453,47,77,95,43,498
522,529,278,40,185,72,77,30,607,485,683,390,46,85,63,33,557
432,416,297,31,94,61,42,11,364,339,496,414,19,52,39,22,339
540,862,427,56,148,113,80,24,883,411,966,723,47,86,60,34,824
375,304,224,37,98,61,56,17,447,319,419,343,24,48,47,29,390
136,337,118,13,52,23,23,9,236,115,329,200,22,24,27,20,215
104,203,82,5,24,19,11,8,191,67,210,165,7,13,10,6,165
911,1451,859,158,496,181,237,77,1703,840,1719,1223,155,267,166,92,1645
222,304,153,22,81,48,42,17,266,203,362,246,15,53,25,18,227
220,711,200,22,42,40,28,27,391,173,652,396,14,47,17,33,387
99,283,75,18,46,22,10,7,193,102,293,131,22,24,11,9,163
469,657,370,51,217,75,98,38,826,473,842,519,63,95,95,37,750
269,339,118,12,42,39,17,7,322,210,357,197,7,43,24,8,292
567,383,261,34,140,61,58,11,524,514,488,411,33,67,53,32,509
172,398,217,33,46,28,16,10,270,104,457,307,19,41,26,16,279
327,390,216,28,153,51,61,11,348,344,468,313,44,63,43,17,322
196,283,82,13,56,25,29,10,203,144,331,126,19,43,19,12,213
118,384,120,14,32,26,11,11,249,95,357,230,6,12,19,19,205
353,386,178,26,108,41,48,14,456,302,420,308,23,58,48,11,435
209,474,164,49,44,52,48,6,329,168,543,261,19,54,29,18,264
201,407,144,27,87,36,49,14,289,180,438,231,37,52,46,30,281
105,243,84,9,46,15,20,3,177,99,270,105,9,37,24,6,141
169,434,130,17,17,20,15,7,287,97,414,252,12,10,24,7,242
210,401,131,20,79,36,38,12,267,196,480,180,16,56,45,12,217
219,433,226,38,127,59,75,18,332,190,507,354,50,49,42,31,336
120,194,112,21,74,31,42,9,175,133,210,178,26,43,24,14,153
81,172,40,9,11,8,8,1,130,55,161,59,4,12,8,4,142
157,304,129,20,49,42,20,15,338,135,323,190,19,17,26,18,296
798,549,401,38,128,101,46,30,833,629,700,596,34,70,54,47,782
432,181,135,25,52,36,20,14,324,361,233,212,11,19,30,19,337
97,229,122,25,32,39,19,7,206,89,258,220,11,28,17,13,179
76,285,98,8,17,23,13,8,170,50,278,153,10,9,11,11,146
427,463,274,45,160,65,32,37,650,345,553,364,66,48,60,33,586
66,137,65,11,7,8,7,1,140,40,139,72,1,12,12,2,135
110,180,99,13,16,31,26,5,168,100,197,144,4,15,15,12,159
282,345,170,34,93,50,15,10,333,255,372,260,30,37,41,23,274
565,299,162,30,66,43,11,16,515,386,341,295,9,34,29,34,473
858,681,409,54,172,144,60,33,765,700,781,647,41,94,90,61,695
877,287,385,39,133,81,39,48,772,752,370,519,26,45,49,34,729
324,449,220,38,52,58,27,8,430,274,511,329,22,45,32,13,384
143,361,93,24,35,15,16,4,273,135,368,167,8,21,19,6,242
220,504,192,19,64,49,28,15,390,193,517,324,15,60,22,29,353
230,295,125,13,57,24,30,4,180,204,325,174,17,30,18,10,167
281,391,373,52,104,76,58,30,582,248,477,560,22,56,41,24,536
107,132,70,5,11,10,2,0,136,87,146,128,2,4,7,3,99
276,514,368,42,110,56,58,26,442,273,537,533,30,50,32,43,457
169,219,127,22,39,37,16,12,214,158,240,198,14,17,23,17,180
445,58,204,19,51,39,15,14,376,373,90,344,13,14,22,20,321
312,394,162,25,86,37,23,7,332,325,378,249,15,34,23,21,325
114,548,172,29,64,31,26,17,411,118,608,309,24,46,19,12,360
237,672,261,43,160,77,56,23,534,248,724,374,35,84,52,55,505
59,390,104,18,49,24,22,7,153,74,356,159,13,23,24,18,177
249,137,99,16,39,23,6,10,230,225,159,150,13,20,16,18,218
303,245,126,26,65,42,14,9,337,265,267,236,8,33,33,20,337
311,206,138,16,43,16,18,13,337,281,223,226,14,33,22,13,299
771,415,528,49,153,98,77,20,948,714,568,636,35,88,66,52,870
256,797,330,49,211,75,49,21,721,306,896,479,44,77,53,53,660
407,212,145,21,43,46,30,17,412,311,245,311,12,19,24,12,410
158,217,97,9,38,17,17,10,151,128,219,148,11,30,16,7,143
632,946,548,78,376,106,128,35,1273,633,1092,716,115,184,112,52,1171
343,349,178,17,41,37,20,10,383,248,376,329,9,28,15,15,353
351,262,229,32,82,49,33,12,430,306,288,382,24,41,32,23,416
132,374,66,8,31,16,9,2,194,169,271,158,5,14,17,7,201
560,236,239,26,104,54,41,22,586,468,307,345,27,40,30,30,567
299,149,163,19,52,32,12,5,304,249,218,225,12,22,17,7,268
640,443,423,67,180,77,71,21,1129,523,552,597,39,78,74,41,1128
320,614,276,28,72,71,35,16,646,266,664,423,18,37,31,19,553
152,342,95,14,14,24,9,6,222,130,336,193,10,19,9,13,169
148,593,376,27,115,43,37,17,476,159,654,446,26,54,42,38,414
289,708,483,40,163,70,64,24,707,298,736,592,35,86,56,57,641
341,356,187,19,78,44,34,13,365,288,394,309,13,40,15,19,316
143,364,62,14,18,14,7,10,252,108,352,142,7,19,13,7,244
150,199,138,26,43,29,29,14,245,119,240,179,17,43,28,16,207
160,232,142,7,51,14,8,3,154,139,238,179,13,17,13,6,187
123,320,79,11,20,22,11,11,292,104,288,153,4,16,13,16,302
1257,568,584,75,211,133,83,45,1376,1084,752,783,45,95,89,56,1338
198,316,117,27,65,26,34,13,223,186,363,154,14,37,25,14,218
117,564,118,28,76,40,22,11,300,127,559,189,14,46,20,35,292
351,422,182,37,51,34,24,8,398,269,417,352,18,49,18,17,518
277,365,158,22,101,43,38,19,404,271,349,230,34,57,36,15,424
112,193,78,6,14,18,5,8,195,89,199,154,0,15,9,6,157
301,388,196,22,68,42,34,14,345,261,463,331,14,36,33,18,296
366,342,189,15,37,47,14,6,358,272,377,309,10,26,35,11,324
244,266,142,14,70,39,25,20,237,224,326,189,13,27,44,15,230
102,348,110,24,13,32,20,5,231,67,377,203,6,7,11,11,198
30,167,22,8,35,13,7,3,91,30,192,52,10,10,13,9,78
72,346,39,7,30,14,8,2,170,76,326,80,7,9,10,7,180
63,374,80,12,15,21,17,1,160,50,361,149,7,14,10,4,153
617,783,440,32,127,86,63,20,829,460,917,703,37,83,68,35,763
133,381,105,11,41,27,22,4,214,94,403,158,14,33,17,11,240
308,451,310,46,98,79,51,18,444,240,583,417,25,60,64,18,362
333,315,163,13,54,12,16,8,233,281,351,221,17,24,24,16,202
148,324,127,8,37,26,16,8,275,121,340,205,11,24,18,14,222
259,402,217,19,40,39,20,11,313,229,450,300,14,30,20,19,272
256,136,107,6,14,15,6,12,147,173,160,176,1,7,8,10,159
84,307,131,28,29,18,18,8,175,72,304,173,8,17,8,9,175
210,258,133,16,36,33,31,6,208,189,307,185,15,27,25,7,199
253,283,143,28,78,50,37,17,300,243,358,219,29,31,42,10,237
234,277,176,17,103,55,31,13,359,247,338,249,25,36,54,19,304
1114,1128,747,94,274,164,121,41,1468,897,1360,1173,88,113,129,70,1298
318,560,251,19,95,45,30,19,484,314,545,342,39,41,53,59,486
1649,2071,1146,165,650,278,321,99,2647,1524,2435,1720,189,351,265,136,2590
249,296,168,16,34,36,25,8,307,178,326,309,19,20,19,18,273
173,169,93,9,40,24,10,4,203,128,213,140,13,26,9,7,182
165,277,98,23,84,27,31,18,199,176,313,150,47,33,28,19,171
694,1442,604,78,153,151,94,40,1178,558,1587,875,39,75,83,45,1105
300,66,164,15,12,39,12,11,306,226,113,247,1,11,9,8,297
89,269,78,18,10,21,7,5,186,71,288,121,3,14,8,5,153
354,477,218,21,61,51,24,15,455,245,555,353,11,21,35,21,408
154,554,229,18,41,41,31,11,304,132,521,343,9,29,25,14,276
455,424,299,51,180,68,63,22,508,416,611,398,72,69,75,22,431
54,183,50,10,16,14,5,6,135,38,218,93,6,6,3,5,103
149,522,174,20,37,45,24,7,316,127,520,269,9,34,12,15,286
393,440,261,24,71,42,46,13,436,288,483,429,19,41,52,24,401
872,1325,650,101,676,142,209,73,1321,983,1664,773,255,258,214,79,1239
50,234,69,12,12,8,6,6,108,36,238,73,1,11,4,7,114
233,141,137,26,88,31,46,12,260,243,217,219,20,53,44,7,265
349,438,255,70,234,88,128,27,670,369,662,363,56,133,108,29,583
780,864,573,131,485,197,320,67,1261,916,1209,643,151,289,232,55,1170
1612,1338,1071,163,887,241,558,113,2521,1716,2023,1285,254,574,435,118,2257
177,251,150,49,133,44,93,12,336,205,395,156,32,122,61,11,291
206,372,120,50,196,52,155,13,457,284,496,199,46,157,74,17,442
464,558,292,69,367,89,187,28,794,561,767,430,91,173,151,39,685
1620,854,1084,136,611,282,322,85,1867,1612,1387,1361,146,331,268,106,1637
301,203,154,20,88,67,46,17,281,262,356,211,39,47,51,20,265
317,827,216,52,312,100,226,28,911,408,974,324,111,211,105,44,807
575,342,404,58,206,69,184,24,693,553,586,473,70,146,106,48,552
140,207,70,13,141,18,59,22,252,160,275,74,39,55,44,13,244
318,442,209,61,204,72,130,25,727,378,641,272,36,109,83,27,612
628,1452,589,149,810,192,521,67,2175,895,1830,619,277,438,331,84,2076
2057,2635,1469,282,1783,455,1008,202,5284,2649,3403,1770,637,896,712,210,4734
476,300,368,60,163,70,102,27,576,436,583,450,37,99,72,27,579
1440,2430,1140,240,1209,366,1008,140,3614,1647,3374,1384,445,847,581,145,3318
1053,465,818,97,322,189,191,61,1716,1049,901,1053,76,182,156,80,1574
1564,837,979,154,566,257,313,95,2212,1622,1400,1287,167,348,340,89,1965
319,487,254,61,161,83,107,32,513,363,634,446,55,102,97,45,466
20,109,39,6,10,5,1,5,64,15,117,67,1,5,6,6,64
339,422,208,36,57,45,32,7,424,283,453,279,13,40,40,22,430
242,502,223,35,42,45,28,5,460,178,549,365,12,23,35,21,381
381,183,197,27,45,41,33,7,260,358,280,282,17,34,29,9,256
56,52,35,4,6,19,2,3,103,41,57,56,8,2,4,2,95
89,67,26,5,15,12,7,4,71,84,80,41,4,2,8,3,59
128,219,96,19,36,27,20,4,213,110,260,142,8,31,13,13,198
395,242,259,27,100,51,40,15,445,319,349,381,23,42,37,17,403
129,308,153,21,43,25,14,7,185,112,327,206,10,20,17,10,170
1117,601,774,92,241,147,109,43,1612,934,904,1038,68,104,123,73,1366
515,278,313,37,80,54,46,18,442,494,361,398,22,46,45,23,382
234,311,126,22,43,38,16,12,321,230,341,203,5,33,18,10,250
370,170,197,28,62,54,28,19,363,294,233,267,17,24,33,26,369
212,696,308,37,83,68,33,16,458,207,730,454,26,47,46,26,455
78,162,69,10,12,20,6,7,166,49,174,101,4,6,12,8,153
256,368,201,41,88,46,33,9,357,202,450,297,23,35,33,19,312
2197,1159,1272,119,523,275,199,87,3196,1880,1655,1838,213,216,189,107,2936
111,122,72,11,19,23,6,1,99,66,141,134,3,6,5,4,114
451,253,271,44,108,61,54,17,539,343,348,302,18,45,51,38,553
451,347,291,30,111,95,80,30,640,416,505,462,36,78,57,31,573
69,111,64,10,17,14,10,0,94,58,98,87,4,5,10,5,95
564,449,285,44,87,99,49,24,626,488,528,479,11,45,60,23,585
26,112,18,4,5,5,6,2,61,27,99,37,4,4,5,4,46
472,374,336,53,116,101,53,24,590,410,498,430,32,40,58,38,582
13,127,53,2,11,7,4,0,90,10,122,91,5,7,3,0,59
311,288,259,32,70,69,48,18,446,272,447,342,15,57,51,16,329
240,515,199,30,79,48,39,14,387,206,550,241,19,79,26,25,407
91,119,103,12,20,19,11,10,155,76,132,136,7,9,4,12,155
48,84,39,8,17,19,11,1,69,46,80,62,4,13,5,9,80
416,225,228,30,65,42,39,19,390,323,325,376,14,41,33,16,351
174,92,67,10,18,22,9,5,142,97,121,109,2,10,10,9,155
277,177,193,21,61,39,35,11,309,248,274,259,15,32,31,14,273
74,86,67,6,15,14,8,4,194,75,94,80,1,14,9,8,149
3721,1042,1959,193,596,369,222,121,3458,2958,1811,2670,195,295,321,178,2971
183,314,162,14,31,41,20,6,251,155,344,248,11,21,19,12,224
57,169,79,8,15,7,2,2,111,43,161,136,0,5,6,3,92
27,42,24,4,8,8,3,0,26,23,44,31,4,2,6,2,28
218,454,157,25,68,29,31,4,299,174,512,235,16,30,20,14,252
241,444,169,36,73,54,49,11,267,243,491,265,13,59,36,13,223
159,130,128,18,65,44,13,7,204,130,197,175,16,28,31,21,185
462,84,202,10,66,29,14,15,386,357,142,261,30,21,20,23,354
324,286,179,24,68,57,36,15,305,263,348,259,19,40,41,23,319
152,453,140,57,45,45,16,12,260,131,500,249,7,39,27,9,241
221,99,122,18,61,27,24,6,181,195,151,147,8,20,34,18,201
404,394,351,60,119,108,70,32,695,351,548,507,37,88,78,52,611
185,429,285,35,94,76,43,15,516,189,475,449,23,53,44,36,436
803,869,524,83,303,147,110,47,1037,777,1067,824,113,130,119,80,877
126,242,149,22,63,37,37,16,288,137,253,209,24,36,36,34,264
552,507,428,77,383,133,208,51,1047,633,770,545,171,155,190,69,923
324,601,206,27,62,25,23,14,370,272,589,322,23,39,25,10,345
116,273,66,12,47,23,13,0,180,128,313,126,6,26,22,7,145
340,712,279,25,128,72,50,19,485,304,758,438,34,72,58,31,449
229,423,163,23,108,35,27,10,293,236,445,263,25,38,44,27,295
174,217,141,8,49,27,22,11,198,170,249,223,19,22,21,14,191
1792,899,897,89,392,186,153,62,1581,1502,1172,1284,180,165,165,93,1447
252,289,218,26,73,49,28,10,258,218,337,278,15,37,36,17,277
137,352,175,34,54,39,40,15,271,132,385,253,10,45,27,16,225
335,406,259,27,126,47,57,25,409,300,515,383,30,69,49,30,385
151,261,158,27,97,51,49,17,256,169,330,216,24,59,45,69,206
416,729,371,51,181,110,60,23,641,412,801,496,33,95,71,53,660
284,348,208,37,114,63,54,21,545,313,440,336,23,62,62,36,494
103,157,49,10,17,22,4,4,129,79,154,92,5,5,10,15,140
347,445,279,56,243,76,89,31,675,405,575,399,87,116,120,46,628
288,480,238,12,117,36,30,12,422,274,483,360,31,42,56,25,379
49,255,107,11,42,31,48,10,183,53,277,172,7,39,13,12,148
241,290,165,30,106,49,33,26,291,224,367,221,24,57,41,23,258
936,1149,797,134,526,236,312,76,2016,1000,1534,1138,183,268,216,126,1916
187,231,175,27,74,39,55,19,387,179,319,233,16,49,45,14,397
314,382,221,29,80,56,31,13,294,258,476,320,23,50,39,25,251
992,685,493,66,239,106,132,39,902,912,882,695,65,108,107,61,773
295,589,232,41,97,78,63,20,409,249,660,385,44,85,38,22,388
286,300,146,34,120,22,40,19,302,278,316,226,20,56,36,21,310
385,858,329,61,197,89,73,37,738,439,899,588,37,119,78,39,638
409,564,286,31,106,71,40,25,476,332,617,436,26,74,50,29,469
112,330,92,11,49,31,20,8,214,112,345,150,12,30,26,10,171
65,124,45,5,3,13,6,1,65,56,111,87,0,0,0,6,59
315,227,149,24,60,35,24,14,231,239,247,224,12,36,22,21,270
58,206,67,13,37,25,16,8,183,65,207,132,8,20,17,18,172
1229,745,664,63,292,136,120,39,1238,1068,1025,1062,66,150,119,75,1124
373,194,160,25,48,43,22,9,213,304,240,202,14,35,22,17,270
103,358,162,20,50,61,28,9,278,83,389,272,12,33,20,24,267
1291,755,780,93,342,164,107,67,1538,1216,980,1009,97,151,154,73,1406
480,438,263,32,116,59,45,23,501,427,444,446,31,73,61,49,483
799,432,312,41,102,80,51,25,786,642,598,430,39,43,54,34,719
372,503,198,37,76,62,27,14,424,305,602,296,19,54,25,12,391
326,361,174,41,125,46,39,20,474,303,441,268,19,45,37,32,454
133,581,111,24,51,33,10,5,268,118,551,217,9,22,21,22,261
373,380,176,49,63,65,31,9,403,308,426,261,21,43,29,22,397
202,1032,336,35,114,70,44,9,563,219,1030,501,30,49,42,38,487
66,69,26,3,5,4,3,3,79,55,72,35,2,3,2,1,66
607,1260,575,88,284,158,79,31,1221,574,1304,957,59,155,109,82,1054
157,672,171,19,90,43,30,15,357,116,725,278,30,46,14,20,302
83,347,120,11,43,19,12,8,180,75,371,155,16,33,9,12,144
128,399,99,26,30,37,14,8,272,111,361,232,5,18,23,14,212
91,453,184,24,31,20,4,12,280,79,437,279,8,17,14,14,250
621,906,324,72,330,99,96,36,1023,643,988,436,109,155,99,61,968
201,717,221,40,145,53,42,22,451,191,733,334,40,72,52,33,407
127,409,161,18,48,29,19,9,230,92,429,260,12,31,19,7,224
771,426,414,66,233,73,65,26,863,712,564,540,53,98,74,50,845
443,758,395,66,140,102,59,19,660,415,755,598,43,98,63,45,628
115,473,161,36,96,32,24,3,246,137,473,285,25,41,18,15,240
336,359,159,17,96,50,42,7,379,326,399,325,20,58,50,28,361
321,633,331,38,129,62,61,24,599,313,775,516,28,57,51,27,530
377,388,266,38,76,56,44,9,461,277,457,431,23,55,68,40,476
543,588,354,44,116,85,68,22,684,469,669,575,38,89,76,37,615
142,309,94,14,27,21,18,4,181,120,290,146,16,21,18,13,142
463,612,423,42,150,79,51,16,686,449,789,572,45,77,59,34,598
281,408,246,29,130,66,54,18,392,264,504,351,37,60,68,35,369
567,775,370,62,199,89,88,25,625,456,913,629,47,122,93,42,606
249,279,120,21,44,39,31,8,275,192,307,239,11,36,36,15,199
302,369,238,35,129,34,68,17,460,331,512,337,42,67,66,32,410
250,503,308,34,102,59,59,20,417,219,598,428,26,56,44,20,390
283,677,251,43,107,69,62,19,607,281,815,446,45,92,60,23,593
921,1198,903,145,323,230,190,70,1631,904,1535,1315,96,220,183,98,1402
313,454,234,39,111,48,43,11,371,265,505,380,21,59,47,16,377
412,566,316,68,173,68,97,30,629,403,706,432,60,90,102,36,545
1932,2338,1450,243,1071,378,475,123,3627,1942,3073,2052,314,505,454,213,3313
