SPO_13,OVP_13,FPO_13,BZO_13,GRUNE_13,FRANK_13,NEOS_13,SONST_13,NW_13,SPO_17,OVP_17,FPO_17,GRUNE_17,NEOS_17,PILZ_17,SONST_17,NW_17
856,468,460,58,164,154,72,36,752,743,629,716,75,75,68,44,726
370,529,185,12,66,45,18,12,359,300,544,306,30,28,27,21,319
623,503,302,27,66,52,47,9,436,622,573,363,13,41,32,6,400
300,242,171,16,40,55,33,12,272,272,346,254,7,21,30,10,293
429,293,244,25,39,49,27,8,419,341,391,300,13,24,29,5,385
392,489,263,12,72,63,30,20,544,345,537,409,17,36,20,9,452
1051,1082,683,83,502,223,213,68,1717,1130,1480,997,149,267,185,65,1730
358,204,222,10,83,51,34,22,300,355,254,276,28,13,37,14,274
278,257,97,8,16,11,7,5,175,261,289,117,3,9,13,5,159
365,408,163,19,22,34,19,12,374,301,428,237,8,25,10,17,386
857,208,552,41,134,106,67,33,1072,793,430,789,58,45,69,29,977
315,499,205,34,69,94,54,22,426,301,579,287,23,56,48,7,449
304,328,127,17,32,37,22,18,266,271,373,226,6,22,12,7,233
351,319,108,4,26,29,22,5,204,269,355,120,5,20,7,3,236
512,308,234,12,43,37,12,18,341,413,348,302,17,21,16,12,322
395,370,297,34,139,75,59,12,487,381,474,448,37,74,66,17,432
391,128,134,15,42,41,19,18,281,321,211,207,19,17,27,8,277
534,183,327,13,75,62,41,14,409,483,300,451,22,44,43,12,333
160,175,70,10,16,20,5,5,125,119,166,108,3,14,10,7,149
125,68,102,4,12,14,9,2,101,121,62,132,10,5,6,0,89
129,151,60,4,10,9,12,2,120,103,153,99,4,5,11,1,116
747,626,310,32,80,126,29,15,665,543,785,401,17,47,36,47,673
327,372,107,13,65,34,18,8,218,302,393,150,23,25,14,14,247
250,301,63,14,43,45,14,3,264,214,314,100,24,18,18,7,262
344,390,79,13,45,33,10,8,293,267,389,150,25,17,16,11,283
484,368,188,13,69,69,18,20,306,375,478,284,13,22,20,6,311
206,71,52,8,18,15,6,3,126,179,83,101,5,8,17,5,90
609,263,210,11,71,71,18,8,323,525,324,325,19,19,12,13,318
295,143,119,18,24,34,12,6,274,241,207,169,6,15,5,13,284
438,337,213,26,69,62,44,8,466,376,446,311,23,26,30,14,428
199,176,110,11,22,33,4,5,168,163,214,144,6,13,6,7,153
501,297,230,12,56,47,15,13,365,418,367,331,9,18,21,14,325
303,231,103,12,52,57,9,16,190,312,267,158,18,12,17,16,193
413,427,133,16,41,69,25,18,264,369,458,239,14,22,20,2,267
463,118,73,12,21,39,10,4,146,414,163,127,3,7,17,8,145
357,358,61,8,37,48,24,8,343,274,413,142,17,17,20,13,278
